Time[ms];Pressure[Pa];Approxaltitude[m];Temperature[degC];accX[m/s2];accY[m/s2];accZ[m/s2];rotX[rad/s];rotY[rad/s];rotZ[rad/s];magX[uT];magY[uT];magZ[uT];roll[deg];pitch[deg];heading[deg];tempMPU[degC];Satellites[];Date[yyyy-mm-dd];Time[hh:mm:ss];Latitude[deg];Longitude[deg];RelativeX[m];RelativeY[m];Altitude[m];Angle[deg];deltapressure[Pa];speed[m/s];tempPitot[degC];Ch0;Ch1;Ch2;Ch3;
422465;101846;-43.35;32.0;1.015;-0.618;-10.262;0.021;-0.068;-0.012;-8.990;74.557;59.291;3.2;-4.9;273.6;34.5;12;2025-05-13;14:53:03;51.935539;4.194826;-11942.762695;-6899.000977;7.7;346.82;36.30;7.77;27.0;399.00;399.00;399.00;399.00;
422499;101846;-43.35;32.0;0.972;-0.627;-10.396;0.021;-0.069;-0.012;-8.990;74.557;59.291;3.2;-4.9;273.6;34.5;12;2025-05-13;14:53:03;51.935539;4.194826;-11942.762695;-6899.000977;7.7;346.82;37.35;7.88;27.0;399.00;399.00;399.00;399.00;
422599;101848;-43.46;32.0;0.948;-0.632;-10.549;0.019;-0.058;-0.021;-8.990;74.557;59.291;3.2;-4.9;273.6;34.5;12;2025-05-13;14:53:04;51.935539;4.194827;-11942.694336;-6898.963867;7.7;346.82;37.35;7.88;27.0;399.00;399.00;399.00;399.00;
422699;101848;-43.53;32.0;0.967;-0.603;-10.401;0.026;-0.065;-0.007;-8.990;74.557;59.291;3.2;-4.9;273.6;34.5;12;2025-05-13;14:53:04;51.935539;4.194827;-11942.694336;-6898.963867;7.5;346.82;33.14;7.42;27.0;399.00;399.00;399.00;399.00;
422799;101850;-43.62;32.0;1.135;-0.522;-10.429;0.020;-0.065;-0.012;-8.990;74.557;59.291;3.2;-4.9;273.5;34.4;12;2025-05-13;14:53:04;51.935539;4.194827;-11942.694336;-6898.963867;7.5;346.82;33.14;7.42;27.0;399.00;399.00;399.00;399.00;
422899;101848;-43.53;32.0;1.044;-0.584;-10.434;0.028;-0.066;-0.015;-8.990;74.557;59.291;3.2;-5.0;273.5;34.5;12;2025-05-13;14:53:04;51.935539;4.194827;-11942.694336;-6898.963867;7.5;346.82;33.14;7.42;27.0;399.00;399.00;399.00;399.00;
422999;101849;-43.60;32.0;1.106;-0.551;-10.377;0.021;-0.058;-0.017;-8.990;74.557;59.291;3.2;-5.0;273.5;34.5;12;2025-05-13;14:53:04;51.935539;4.194827;-11942.694336;-6898.963867;7.5;346.82;37.35;7.88;27.0;399.00;399.00;399.00;399.00;
423099;101847;-43.39;32.0;1.082;-0.589;-10.386;0.026;-0.066;-0.015;-8.990;74.557;59.291;3.2;-5.0;273.5;34.5;12;2025-05-13;14:53:04;51.935539;4.194827;-11942.694336;-6898.963867;7.5;346.82;37.35;7.88;27.0;399.00;399.00;399.00;399.00;
423199;101846;-43.32;32.0;1.053;-0.555;-10.425;0.025;-0.062;-0.014;-8.990;74.557;59.291;3.2;-5.0;273.5;34.5;12;2025-05-13;14:53:04;51.935539;4.194827;-11942.694336;-6898.963867;7.5;346.82;36.30;7.77;27.0;399.00;399.00;399.00;399.00;
423299;101850;-43.63;32.0;1.010;-0.488;-10.329;0.023;-0.062;-0.017;-8.990;74.557;59.291;3.2;-5.0;273.5;34.5;12;2025-05-13;14:53:04;51.935539;4.194827;-11942.694336;-6898.963867;7.5;346.82;37.35;7.88;27.0;399.00;399.00;399.00;399.00;
